"region","gdp_percap","capital","pop_2012","pop_2018_proj"
"Arusha",3528,"Arusha",1694310,1999900
"Dar es Salaam",4415,"Dar es Salaam",4364541,5147100
"Dodoma",1830,"Dodoma",2083588,2493000
"Iringa",4080,"Iringa",941238,1095200
"Kagera",1786,"Bukoba",2458023,3022000
"Kigoma",1757,"Kigoma",2127930,2616200
"Kilimanjaro",3583,"Moshi",1640087,1864300
"Lindi",3100,"Lindi",864652,983700
"Manyara",2930,"Babati",1425131,1750900
"Mara",2707,"Musoma",1743830,2209100
"Mbeya",4236,"Mbeya",1708548,2070400
"Morogoro",2795,"Morogoro",2218492,2596300
"Mtwara",2871,"Mtwara",1270854,1424100
"Mwanza",3145,"Mwanza",2772509,3532400
"Pwani",2133,"Dar es Salaam",1098668,1265500
"Rukwa",2863,"Sumbawanga",1004539,1195600
"Ruvuma",3693,"Songea",1376891,1579800
"Shinyanga",2275,"Shinyanga",1534808,1874700
"Singida",1744,"Singida",1370637,1612900
"Songwe",2272,"Vwawa",998862,1202400
"Tabora",2092,"Tabora",2291623,2870500
"Tanga",2964,"Tanga",2045205,2337100
"Tanzania (Mainland)",2915,NA,NA,NA
