ws_id,payment
1,never pay
2,pay per bucket
3,never pay
4,never pay
5,pay per bucket
6,never pay
7,
8,never pay
9,never pay
10,never pay
11,pay when scheme fails
12,other
13,pay monthly
14,never pay
15,never pay
16,pay monthly
17,pay when scheme fails
18,never pay
22,never pay
23,pay monthly
24,
25,
26,pay monthly
27,never pay
28,pay monthly
29,pay monthly
30,never pay
31,pay per bucket
32,never pay
34,never pay
35,never pay
36,never pay
37,pay monthly
39,
40,pay per bucket
42,pay monthly
43,
44,pay per bucket
45,pay when scheme fails
46,pay per bucket
47,never pay
49,pay annually
50,pay per bucket
51,never pay
52,never pay
54,never pay
55,pay per bucket
56,pay per bucket
57,never pay
58,never pay
59,never pay
60,never pay
61,never pay
62,pay monthly
63,
64,never pay
65,
66,never pay
67,never pay
68,pay when scheme fails
69,never pay
70,pay monthly
71,never pay
72,never pay
73,other
74,pay when scheme fails
75,never pay
76,pay monthly
77,
78,never pay
79,
81,never pay
82,
83,pay when scheme fails
84,
85,never pay
87,never pay
88,pay per bucket
89,pay per bucket
90,pay monthly
91,never pay
92,pay monthly
93,never pay
94,never pay
95,pay monthly
96,other
97,pay per bucket
98,pay when scheme fails
99,never pay
100,never pay
101,never pay
102,
103,pay per bucket
104,pay per bucket
105,pay monthly
106,other
107,other
109,never pay
110,
111,
112,never pay
113,pay when scheme fails
114,pay per bucket
115,pay when scheme fails
116,never pay
117,
118,never pay
119,pay per bucket
121,never pay
122,never pay
123,other
124,never pay
125,never pay
126,pay per bucket
127,pay monthly
128,
129,never pay
130,never pay
131,pay per bucket
132,never pay
133,
134,never pay
136,never pay
137,pay per bucket
138,never pay
139,never pay
140,never pay
141,pay monthly
142,never pay
143,
144,never pay
145,pay per bucket
146,never pay
148,
149,never pay
150,
151,never pay
152,never pay
153,
154,never pay
155,pay monthly
156,pay when scheme fails
157,
158,other
159,never pay
160,pay when scheme fails
161,never pay
162,pay monthly
163,pay annually
164,never pay
165,
166,never pay
167,
169,pay per bucket
170,pay when scheme fails
171,never pay
172,pay per bucket
173,pay monthly
174,pay monthly
175,pay when scheme fails
176,never pay
178,pay when scheme fails
179,never pay
181,never pay
182,
183,never pay
184,never pay
186,pay per bucket
187,never pay
188,pay when scheme fails
189,pay monthly
190,
193,pay per bucket
194,pay monthly
195,pay per bucket
196,pay annually
197,pay monthly
198,pay per bucket
199,
200,never pay
201,
202,pay monthly
203,pay when scheme fails
204,never pay
205,never pay
206,pay when scheme fails
207,
208,pay per bucket
209,pay per bucket
210,pay when scheme fails
211,never pay
212,never pay
213,
214,pay monthly
215,never pay
216,pay monthly
217,never pay
218,pay when scheme fails
219,pay when scheme fails
220,never pay
221,never pay
222,
223,pay monthly
224,never pay
225,
226,never pay
227,
228,
229,never pay
230,pay per bucket
232,
233,pay per bucket
234,never pay
235,pay when scheme fails
236,pay when scheme fails
237,pay monthly
238,pay monthly
239,never pay
240,pay per bucket
241,pay per bucket
242,pay per bucket
243,
245,never pay
247,never pay
248,pay per bucket
249,never pay
250,pay monthly
251,pay per bucket
252,never pay
255,
257,
259,
260,never pay
261,never pay
262,pay per bucket
263,never pay
264,never pay
265,
266,pay monthly
267,never pay
268,pay when scheme fails
269,pay per bucket
270,never pay
271,never pay
272,never pay
273,never pay
274,
275,
276,never pay
277,never pay
278,never pay
279,never pay
280,pay monthly
281,
282,pay per bucket
283,never pay
284,pay monthly
286,never pay
287,other
288,pay monthly
289,
290,never pay
291,never pay
292,
293,pay per bucket
294,
295,pay per bucket
296,never pay
298,pay when scheme fails
299,never pay
300,never pay
302,never pay
303,never pay
304,never pay
305,never pay
307,never pay
308,never pay
309,never pay
310,never pay
311,pay annually
312,never pay
313,never pay
314,never pay
315,
316,never pay
317,
318,never pay
319,never pay
320,never pay
322,never pay
324,never pay
325,never pay
327,pay monthly
328,pay monthly
329,pay per bucket
330,
331,pay when scheme fails
332,
333,
334,other
335,pay annually
336,never pay
337,pay annually
338,pay monthly
339,never pay
340,
341,pay monthly
342,never pay
343,pay monthly
344,never pay
345,never pay
347,
348,pay monthly
349,pay monthly
350,pay per bucket
351,pay per bucket
352,never pay
353,never pay
354,
355,pay annually
356,never pay
357,never pay
358,pay when scheme fails
359,pay when scheme fails
360,never pay
361,never pay
363,pay per bucket
364,pay monthly
365,pay monthly
366,
367,
368,never pay
369,never pay
371,pay annually
372,pay monthly
373,pay when scheme fails
374,pay when scheme fails
375,pay per bucket
376,pay per bucket
377,pay per bucket
378,pay per bucket
379,pay per bucket
380,pay monthly
381,never pay
382,pay per bucket
383,never pay
384,never pay
385,pay when scheme fails
386,pay per bucket
387,never pay
388,pay per bucket
390,never pay
391,never pay
392,pay monthly
393,
394,never pay
395,never pay
397,pay per bucket
398,pay monthly
399,pay per bucket
400,pay per bucket
401,pay per bucket
402,never pay
403,never pay
404,never pay
405,
406,never pay
408,never pay
409,pay monthly
410,never pay
412,never pay
413,never pay
414,never pay
416,pay monthly
417,pay per bucket
418,pay annually
419,never pay
420,pay per bucket
421,pay monthly
422,never pay
423,never pay
424,never pay
425,never pay
426,never pay
427,never pay
428,never pay
429,pay when scheme fails
430,pay per bucket
431,never pay
432,never pay
434,never pay
435,never pay
436,never pay
437,
438,never pay
439,never pay
440,
441,never pay
442,pay monthly
444,never pay
445,never pay
446,pay monthly
447,never pay
448,pay annually
449,
450,never pay
451,pay per bucket
452,pay monthly
453,
454,pay per bucket
455,never pay
456,never pay
457,pay monthly
458,never pay
459,never pay
460,pay annually
461,never pay
462,never pay
463,
464,never pay
465,never pay
466,never pay
467,never pay
468,
469,never pay
470,pay monthly
471,never pay
472,never pay
473,pay monthly
474,never pay
476,pay per bucket
477,
478,never pay
479,
480,pay when scheme fails
481,never pay
482,
483,pay per bucket
484,pay per bucket
485,never pay
486,
487,pay per bucket
488,pay monthly
490,pay per bucket
491,
492,never pay
493,pay monthly
494,pay when scheme fails
495,pay per bucket
496,pay annually
498,
499,pay per bucket
500,pay monthly
501,pay annually
502,never pay
503,never pay
504,pay monthly
505,
506,never pay
507,never pay
508,never pay
509,never pay
510,pay per bucket
511,pay monthly
512,never pay
513,pay per bucket
514,pay when scheme fails
515,never pay
516,never pay
517,
518,never pay
519,never pay
520,other
521,pay when scheme fails
522,pay monthly
523,never pay
524,
525,pay when scheme fails
526,never pay
527,never pay
528,pay per bucket
530,never pay
531,pay monthly
532,never pay
533,pay per bucket
534,pay when scheme fails
535,never pay
536,never pay
537,never pay
538,pay when scheme fails
539,never pay
540,never pay
541,pay when scheme fails
542,never pay
545,pay monthly
546,pay per bucket
548,
549,never pay
550,pay per bucket
551,
553,pay monthly
554,pay per bucket
555,never pay
556,never pay
557,pay per bucket
558,pay monthly
559,pay annually
560,pay annually
561,never pay
562,pay monthly
563,pay monthly
564,pay monthly
565,pay per bucket
566,never pay
568,
569,pay monthly
570,pay monthly
571,never pay
572,never pay
573,pay monthly
574,pay per bucket
575,
576,never pay
578,never pay
579,pay monthly
580,never pay
581,pay per bucket
582,never pay
583,pay when scheme fails
584,never pay
585,
586,never pay
587,never pay
588,pay per bucket
589,pay per bucket
590,never pay
591,pay when scheme fails
592,
593,pay when scheme fails
594,pay per bucket
595,never pay
596,pay monthly
597,pay monthly
598,pay monthly
599,
600,
601,never pay
602,
603,never pay
604,pay per bucket
605,never pay
606,
607,pay when scheme fails
608,never pay
609,pay annually
610,pay monthly
611,
612,
613,never pay
614,never pay
615,never pay
616,never pay
618,never pay
619,never pay
620,never pay
622,pay per bucket
623,other
624,never pay
625,
626,pay per bucket
627,never pay
628,pay per bucket
629,never pay
630,
631,never pay
632,
633,pay per bucket
634,pay annually
635,never pay
636,pay per bucket
637,never pay
638,pay annually
639,
640,pay monthly
642,never pay
643,pay per bucket
644,pay monthly
645,never pay
646,never pay
647,never pay
648,
649,pay per bucket
650,pay monthly
651,pay annually
652,never pay
653,pay monthly
654,pay monthly
655,never pay
656,never pay
657,pay monthly
658,
660,
661,pay monthly
662,never pay
663,pay when scheme fails
664,
665,pay per bucket
666,never pay
667,never pay
668,never pay
669,never pay
670,pay when scheme fails
671,
672,never pay
674,never pay
675,never pay
676,pay monthly
677,
680,never pay
681,
682,pay per bucket
683,never pay
684,pay monthly
685,never pay
686,never pay
687,other
688,
689,
690,never pay
691,never pay
692,never pay
693,
694,never pay
695,never pay
696,never pay
698,never pay
700,never pay
701,never pay
702,pay per bucket
703,never pay
705,never pay
706,pay monthly
707,never pay
708,never pay
709,pay monthly
710,never pay
711,never pay
712,pay when scheme fails
713,pay per bucket
714,never pay
715,pay monthly
716,never pay
717,pay when scheme fails
718,never pay
719,pay per bucket
721,never pay
722,pay annually
723,
724,
725,pay when scheme fails
726,pay per bucket
727,pay per bucket
728,other
729,pay monthly
730,pay per bucket
731,never pay
732,never pay
734,pay per bucket
735,pay per bucket
736,
737,pay when scheme fails
738,pay per bucket
739,pay per bucket
740,never pay
741,
742,pay monthly
744,never pay
745,never pay
746,pay per bucket
747,pay monthly
748,pay monthly
749,never pay
750,never pay
751,never pay
752,never pay
754,pay per bucket
756,
757,never pay
758,
759,other
760,pay per bucket
761,never pay
762,
763,never pay
764,never pay
765,pay when scheme fails
766,never pay
767,never pay
768,pay monthly
769,never pay
770,
771,never pay
772,never pay
773,pay monthly
774,pay per bucket
775,never pay
776,pay annually
777,
778,pay per bucket
779,pay per bucket
780,pay monthly
781,never pay
782,never pay
783,never pay
784,never pay
785,never pay
786,
787,pay annually
788,
789,never pay
790,
791,
792,pay when scheme fails
794,never pay
795,pay when scheme fails
796,pay per bucket
797,
799,never pay
800,never pay
801,never pay
802,never pay
803,pay per bucket
804,pay monthly
805,never pay
806,
807,never pay
808,pay monthly
809,pay per bucket
810,pay per bucket
811,never pay
813,other
814,never pay
815,pay monthly
816,pay per bucket
817,pay monthly
818,never pay
819,pay monthly
821,never pay
822,pay per bucket
823,pay monthly
824,never pay
827,never pay
828,never pay
829,pay per bucket
830,pay annually
831,
832,never pay
833,pay annually
834,
835,
836,pay per bucket
837,never pay
838,never pay
840,pay per bucket
841,pay per bucket
842,never pay
843,pay per bucket
844,pay per bucket
845,
847,never pay
848,never pay
849,pay per bucket
850,never pay
851,never pay
852,never pay
853,never pay
854,never pay
855,pay monthly
856,never pay
857,pay per bucket
859,pay monthly
860,never pay
861,never pay
862,never pay
863,never pay
864,pay annually
865,never pay
866,pay monthly
867,pay per bucket
868,never pay
869,pay per bucket
870,never pay
871,other
872,never pay
873,pay per bucket
876,pay when scheme fails
877,never pay
878,pay monthly
879,never pay
880,pay per bucket
881,pay per bucket
882,pay monthly
883,pay monthly
884,pay per bucket
885,
886,pay when scheme fails
887,never pay
889,
890,
891,never pay
892,pay when scheme fails
893,never pay
894,never pay
895,never pay
896,never pay
897,pay monthly
898,pay per bucket
899,never pay
900,pay when scheme fails
901,never pay
902,
903,pay monthly
904,pay monthly
905,never pay
906,pay per bucket
907,never pay
908,never pay
909,never pay
910,pay when scheme fails
912,never pay
913,pay per bucket
914,never pay
915,never pay
916,pay per bucket
917,pay monthly
918,never pay
919,never pay
920,pay per bucket
921,
922,
923,never pay
924,pay monthly
926,never pay
928,pay annually
929,never pay
930,pay per bucket
931,never pay
932,never pay
933,never pay
935,never pay
936,pay monthly
937,pay monthly
938,pay per bucket
940,
941,never pay
942,pay monthly
943,pay per bucket
944,pay per bucket
945,pay per bucket
946,
947,never pay
948,never pay
949,never pay
950,pay per bucket
951,never pay
952,pay per bucket
953,never pay
954,never pay
955,never pay
956,pay per bucket
957,never pay
958,never pay
959,pay monthly
961,never pay
962,never pay
963,never pay
964,pay when scheme fails
966,pay per bucket
967,pay per bucket
968,pay per bucket
969,pay per bucket
970,pay when scheme fails
972,pay when scheme fails
973,pay annually
974,
976,pay monthly
977,pay annually
978,pay per bucket
979,never pay
980,never pay
981,pay when scheme fails
982,pay when scheme fails
983,
984,never pay
985,other
986,pay monthly
987,
989,pay per bucket
990,
991,
993,pay monthly
994,never pay
995,
996,pay annually
997,pay when scheme fails
998,pay monthly
999,pay per bucket
1000,pay monthly
1001,never pay
1002,pay when scheme fails
1003,
1004,
1005,never pay
1006,pay per bucket
1008,
1009,
1010,
1011,pay per bucket
1012,never pay
1013,pay per bucket
1014,pay per bucket
1015,pay monthly
1016,never pay
1017,
1018,never pay
1019,
1020,
1021,
1022,never pay
1023,never pay
1024,never pay
1025,never pay
1026,never pay
1027,never pay
1028,
1029,never pay
1030,pay monthly
1031,never pay
1032,never pay
1033,never pay
1034,never pay
1035,never pay
1036,never pay
1037,never pay
1038,pay monthly
1039,pay monthly
1040,pay per bucket
1042,pay when scheme fails
1043,never pay
1044,never pay
1045,pay monthly
1047,never pay
1049,pay per bucket
1050,never pay
1051,pay per bucket
1052,never pay
1053,never pay
1055,never pay
1056,pay when scheme fails
1057,never pay
1058,pay monthly
1059,never pay
1060,never pay
1061,pay monthly
1063,pay monthly
1064,pay monthly
1065,
1066,never pay
1067,pay per bucket
1068,pay per bucket
1069,
1070,pay per bucket
1071,pay when scheme fails
1072,never pay
1073,pay monthly
1074,never pay
1075,
1076,pay per bucket
1078,never pay
1080,never pay
1081,never pay
1082,pay per bucket
1083,pay monthly
1084,never pay
1085,never pay
1087,never pay
1088,never pay
1089,never pay
1090,pay monthly
1091,never pay
1092,
1093,pay per bucket
1094,never pay
1095,pay when scheme fails
1096,never pay
1097,pay per bucket
1098,never pay
1099,pay per bucket
1100,pay monthly
