inspection_id,date_recorded,ws_id,status_group
8776,2013-03-06,1,functional
34310,2013-02-25,2,functional
67743,2013-01-28,3,non functional
19728,2011-07-13,4,functional
9944,2011-03-13,5,functional
19816,2012-10-01,6,non functional
54551,2012-10-09,7,non functional
53934,2012-11-03,8,non functional
46144,2011-08-03,9,functional
49056,2011-02-20,10,functional
50409,2013-02-18,11,functional
36957,2012-10-14,12,functional
50495,2013-03-15,13,functional
53752,2012-10-20,14,functional
61848,2011-08-04,15,functional
48451,2011-07-04,16,non functional
58155,2011-09-04,17,non functional
34169,2011-07-22,18,functional needs repair
58500,2011-10-04,22,functional needs repair
37862,2013-11-03,23,functional
51058,2013-01-21,24,functional
22308,2013-02-25,25,functional needs repair
55012,2013-01-16,26,functional
20145,2011-07-11,27,functional
19685,2013-03-05,28,non functional
69124,2013-03-16,29,functional
46804,2011-03-23,30,functional
6696,2011-03-16,31,functional
57238,2013-03-19,32,functional needs repair
41583,2011-02-23,34,functional
57355,2013-03-28,35,non functional
67359,2011-07-16,36,non functional
60048,2011-03-27,37,functional
25,2013-02-11,39,non functional
70238,2013-10-03,40,functional
52019,2011-07-07,42,functional
19282,2013-01-15,43,non functional
1843,2013-03-18,44,functional needs repair
12958,2012-10-22,45,non functional
45111,2013-02-05,46,functional needs repair
13620,2011-07-27,47,functional
25182,2011-04-04,49,functional
3228,2013-02-21,50,functional
19308,2011-08-18,51,non functional
10745,2011-07-31,52,functional
9417,2011-07-14,54,functional
68724,2013-02-22,55,non functional
74197,2013-07-03,56,functional
22961,2013-08-03,57,non functional
24593,2013-01-22,58,functional
31714,2011-07-07,59,functional needs repair
29952,2011-03-13,60,functional
40393,2011-03-22,61,non functional
2127,2013-01-16,62,functional needs repair
8265,2013-05-03,63,non functional
67433,2013-01-19,64,functional
51072,2013-02-09,65,non functional
34255,2011-02-22,66,functional
22108,2011-07-31,67,non functional
4720,2011-01-04,68,non functional
54801,2013-02-04,69,non functional
21990,2011-03-05,70,non functional
17386,2011-03-31,71,non functional
41609,2011-04-04,72,non functional
35715,2013-02-27,73,non functional
53970,2013-01-16,74,functional
62971,2011-08-07,75,non functional
63542,2011-03-23,76,functional
15622,2013-03-18,77,functional
12903,2011-03-30,78,non functional
52561,2012-10-23,79,functional
65531,2011-03-04,81,functional needs repair
3675,2013-03-14,82,functional
34383,2012-10-22,83,functional
30423,2012-10-18,84,non functional
68717,2011-08-08,85,non functional
30537,2011-09-05,87,non functional
27312,2011-03-12,88,non functional
22143,2011-04-11,89,functional needs repair
43237,2013-01-17,90,functional needs repair
62591,2013-01-20,91,non functional
39920,2011-03-23,92,non functional
70892,2013-02-18,93,functional
48593,2011-07-11,94,non functional
26419,2013-01-27,95,functional
68554,2013-02-11,96,non functional
29083,2011-08-04,97,functional
33379,2013-02-19,98,functional needs repair
43206,2012-10-06,99,non functional
41743,2011-08-04,100,non functional
17970,2013-01-17,101,functional
25693,2013-02-05,102,functional
39364,2013-02-13,103,functional needs repair
57580,2013-02-26,104,functional
23000,2013-02-16,105,functional
59902,2013-02-17,106,functional
60371,2011-07-21,107,non functional
7116,2011-07-12,109,functional
64063,2013-05-03,110,non functional
59983,2013-07-03,111,functional
10784,2011-07-17,112,functional
49503,2011-04-07,113,functional
54248,2011-04-10,114,non functional
24409,2011-07-17,115,non functional
21068,2011-03-07,116,functional
62341,2013-01-22,117,non functional
10837,2012-10-29,118,functional
35458,2013-02-26,119,non functional
64447,2011-07-14,121,functional
22897,2011-07-22,122,non functional
2915,2013-03-14,123,functional
14016,2011-04-07,124,functional
69525,2012-10-11,125,non functional
73061,2013-02-14,126,functional
42031,2011-03-23,127,functional
33235,2012-10-05,128,non functional
41839,2011-07-27,129,non functional
62002,2011-07-19,130,functional
6106,2013-03-16,131,functional
25915,2011-04-15,132,functional
20673,2012-10-23,133,functional
59475,2011-03-05,134,functional
