ws_id,extraction_type_class,quality_group,waterpoint_type_group
1,gravity,good,communal standpipe
2,gravity,good,communal standpipe
3,submersible,good,communal standpipe
4,gravity,good,communal standpipe
5,submersible,salty,communal standpipe
6,handpump,good,hand pump
7,handpump,milky,hand pump
8,handpump,salty,hand pump
9,handpump,good,hand pump
10,submersible,salty,other
11,handpump,good,hand pump
12,handpump,good,hand pump
13,gravity,good,communal standpipe
14,handpump,good,hand pump
15,handpump,good,hand pump
16,gravity,good,communal standpipe
17,gravity,good,communal standpipe
18,other,milky,other
22,gravity,good,communal standpipe
23,gravity,good,communal standpipe
24,gravity,good,improved spring
25,gravity,good,communal standpipe
26,handpump,good,hand pump
27,handpump,good,hand pump
28,gravity,good,communal standpipe
29,gravity,good,communal standpipe
30,handpump,good,hand pump
31,submersible,good,communal standpipe
32,gravity,good,other
34,handpump,salty,hand pump
35,other,good,other
36,gravity,good,communal standpipe
37,gravity,good,communal standpipe
39,handpump,good,hand pump
40,submersible,good,communal standpipe
42,gravity,good,communal standpipe
43,motorpump,,communal standpipe
44,gravity,good,communal standpipe
45,wind-powered,good,communal standpipe
46,gravity,good,communal standpipe
47,gravity,good,communal standpipe
49,gravity,good,communal standpipe
50,gravity,good,communal standpipe
51,gravity,good,communal standpipe
52,gravity,good,communal standpipe
54,gravity,good,communal standpipe
55,gravity,good,communal standpipe
56,gravity,good,communal standpipe
57,gravity,good,communal standpipe
58,handpump,good,hand pump
59,handpump,good,hand pump
60,gravity,good,communal standpipe
61,other,good,other
62,gravity,good,communal standpipe
63,gravity,good,communal standpipe
64,handpump,good,hand pump
65,motorpump,,communal standpipe
66,rope pump,good,hand pump
67,gravity,good,other
68,gravity,good,communal standpipe
69,other,good,communal standpipe
70,handpump,,hand pump
71,gravity,good,communal standpipe
72,gravity,good,communal standpipe
73,handpump,good,hand pump
74,handpump,good,hand pump
75,submersible,good,communal standpipe
76,gravity,good,communal standpipe
77,gravity,good,communal standpipe
78,gravity,good,communal standpipe
79,handpump,good,hand pump
81,gravity,good,communal standpipe
82,gravity,good,communal standpipe
83,handpump,good,hand pump
84,gravity,good,hand pump
85,handpump,good,hand pump
87,gravity,good,communal standpipe
88,submersible,good,communal standpipe
89,motorpump,good,communal standpipe
90,gravity,good,communal standpipe
91,handpump,salty,hand pump
92,submersible,good,communal standpipe
93,gravity,good,communal standpipe
94,handpump,milky,hand pump
95,gravity,good,communal standpipe
96,submersible,good,communal standpipe
97,submersible,,communal standpipe
98,gravity,good,communal standpipe
99,motorpump,good,communal standpipe
100,other,good,other
101,handpump,good,hand pump
102,gravity,good,improved spring
103,submersible,good,communal standpipe
104,gravity,good,communal standpipe
105,gravity,good,communal standpipe
106,handpump,good,hand pump
107,handpump,good,hand pump
109,other,good,communal standpipe
110,gravity,fluoride,communal standpipe
111,gravity,good,communal standpipe
112,handpump,milky,hand pump
113,gravity,good,communal standpipe
114,gravity,good,communal standpipe
115,gravity,good,communal standpipe
116,handpump,good,hand pump
117,gravity,good,communal standpipe
118,gravity,good,communal standpipe
119,submersible,salty,communal standpipe
121,other,good,other
122,gravity,good,communal standpipe
123,gravity,good,communal standpipe
124,gravity,good,communal standpipe
125,other,good,hand pump
126,motorpump,good,communal standpipe
127,gravity,good,communal standpipe
128,handpump,good,hand pump
129,other,colored,other
130,handpump,good,hand pump
131,gravity,good,communal standpipe
132,gravity,good,communal standpipe
133,other,milky,other
134,gravity,good,communal standpipe
136,handpump,good,hand pump
137,handpump,good,hand pump
138,handpump,good,hand pump
139,gravity,good,communal standpipe
140,gravity,good,communal standpipe
141,gravity,good,communal standpipe
142,handpump,good,hand pump
143,submersible,good,communal standpipe
144,gravity,,communal standpipe
145,submersible,good,communal standpipe
146,gravity,good,improved spring
148,other,salty,other
149,gravity,colored,communal standpipe
150,other,good,improved spring
151,gravity,colored,communal standpipe
152,motorpump,salty,other
153,handpump,good,hand pump
154,other,good,other
155,handpump,good,hand pump
156,gravity,good,communal standpipe
157,other,good,other
158,handpump,good,hand pump
159,handpump,good,hand pump
160,handpump,good,hand pump
161,other,good,other
162,gravity,good,communal standpipe
163,gravity,good,communal standpipe
164,handpump,salty,hand pump
