"","region","capital","pop_2012","pop_2018_proj"
"1","Tanzania","Dodoma",44928923,54199200
"2","Arusha","Arusha",1694310,1999900
"3","Dar es Salaam","Dar es Salaam",4364541,5147100
"4","Dodoma","Dodoma",2083588,2493000
"5","Geita","Geita",1739530,2239900
"6","Iringa","Iringa",941238,1095200
"7","Kagera [West Lake]","Bukoba",2458023,3022000
"8","Katavi","Mpanda",564604,738200
"9","Kigoma","Kigoma",2127930,2616200
"10","Kilimanjaro","Moshi",1640087,1864300
"11","Lindi","Lindi",864652,983700
"12","Manyara","Babati",1425131,1750900
"13","Mara","Musoma",1743830,2209100
"14","Mbeya","Mbeya",1708548,2070400
"15","Morogoro","Morogoro",2218492,2596300
"16","Mtwara","Mtwara",1270854,1424100
"17","Mwanza","Mwanza",2772509,3532400
"18","Njombe","Njombe",702097,803300
"19","Pwani [Coast]","Dar es Salaam",1098668,1265500
"20","Rukwa","Sumbawanga",1004539,1195600
"21","Ruvuma","Songea",1376891,1579800
"22","Shinyanga","Shinyanga",1534808,1874700
"23","Simiyu","Bariadi",1584157,2094800
"24","Singida","Singida",1370637,1612900
"25","Songwe","Vwawa",998862,1202400
"26","Tabora","Tabora",2291623,2870500
"27","Tanga","Tanga",2045205,2337100
"28","Zanzibar","Zanzibar",1303569,1579800
